These studies are the included studies in Mullen et al.'s (2024) scoping systematic review. Please reference the paper if using these results: ,,,,,,,,,,
"Mullen, C., Howard, E., & Cronin, A. (2024). A scoping literature review of the impact and evaluation of mathematics and statistics supportin higher education. Educational Studies in Mathematics, https://doi.org/10.1007/s10649-024-10332-6.",,,,,,,,,,
,,,,,,,,,,
Rows 1-5 need to be deleted before uploading to the EviAtlas app (https://estech.shinyapps.io/eviatlas/),,,,,,,,,,
,,,,,,,,,,
Study_No,Evaluation_Focused,Source,Publication_Type,Year,Reference,Institute,Country,Latitude,Longitude,MSS_Formats
15,Non-Evaluation,Database Search,Conference Proceedings,2012,"Lee, S., & Morgan, K. (2012). Construction and student feedback of a 'transition to university' online support course in mathematics for STEM students. Proceedings of the International Conference on Innovation, Good Practice and Research in Engineering Education 2012.",Cardiff ands Swansea universities,UK,51.50672728,-3.19870317,Bridging_Course
16,Non-Evaluation,Database Search,Journal Article,2011,"Loch, B., Gill, O., & Croft, A. C. (2011). Complementing mathematics support with online MathsCasts. ANZIAM Journal, 53, C561-C575. ","Swinburne University of Technology, University of Limerick and Loughborough University","Australia, Ireland, and UK",-33.74470324,151.1958958,Online_Resources 
17,Non-Evaluation,Database Search,Journal Article,2021,"Mac an Bhaird, C., McGlinchey, A., Mulligan, P., O'Malley, J., & O'Neill, R. (2021). Student experiences of online study groups and drop-in mathematics support during COVID-19. Teaching Mathematics and its Applications, 40(4), 356-373.",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.42479865,-6.580510943,Online_Communication
18,Non-Evaluation,Database Search,Book (Section),2011,"Mac an Bhaird, C., & O'Shea, A. (2011). The role of technology in mathematics support: A pilot study. In A. A. Juam, M.A. Huertas, S. Trenholm, & C. Steegmann (Eds.), Teaching Mathematics Online: Emergent Technologies and Methodologies (pp. 367-383). IGI Global",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.36479865,-6.620510943,Online_Resources 
19,Non-Evaluation,Database Search,Conference Proceedings,2002,"McGee, M. M., & Fentiman, A. W. (2002). Components of a year-long bridge program for minority engineering students. Proceedings of the 2002 ASEE Annual Conference (pp. 7.315.1-7.315.5). American Society for Engineering Education.",The Ohio State University,USA,40.00684485,-83.03044387,Appointments
20,Non-Evaluation,Database Search,Journal Article,2015,"Menz, P., & Jungic, V. (2015). A University Math Help Centre as a Support Framework for Students, the Instructor, the Course, and the Department. Journal of University Teaching and Learning Practice, 12(1), 1-20. ",Simon Fraser University,Canada,49.27921106,-122.9202439,Workshops
21,Non-Evaluation,Database Search,Journal Article,2011,"Parsons, S., Croft, T., & Harrison, M. (2011). Engineering students' self-confidence in mathematics mapped onto Bandura's self-efficacy. Engineering Education, 6(1), 52-61. ",Harper Adams University College,UK,52.87344938,-2.321972835,MSC
22,Non-Evaluation,Database Search,Journal Article,2018,"Pawley, S., & Hughes, C. (2018). Bridging the Study Gap: Provision of Support for Mathematics Students during Breaks in Study. New Directions in the Teaching of Physical Sciences, 13(1), 1-13. ",Open University,UK,52.02502189,-0.707803265,Online_Communication
23,Non-Evaluation,Database Search,Journal Article,2011,"Perkin, G., & Bamforth, S. (2011). A variety of approaches to the provision of mathematics help for first-year engineering undergraduates. International Journal of Electrical Engineering Education, 48(1), 79-91. ",Loughborough University,UK,52.72512265,-1.271940199,"Bridging_Course, Tutorials, Workshops"
24,Non-Evaluation,Database Search,Conference Proceedings,2019,"Simson, A., Broughton, L. C., & Biddinger, E. J. (2019). Program evaluation of a high school summer bridge program in chemistry and engineering. Proceedings of the 2019 ASEE Annual Conference & Exposition. American Society for Engineering Education.",Bronx Community College but collaborative program between the City University of New York and the New York City public high school system called College Now,USA,40.85767806,-73.91219904,Bridging_Course
25,Non-Evaluation,Database Search,Journal Article,2010,"Solomon, Y., Croft, T., & Lawson, D. (2010). Safety in numbers: mathematics support centres and their derivatives as social learning spaces. Studies in Higher Education, 35(4), 421-431. ",Pseudo names provided - Farnden  and  Middleton,UK,,,MSC
26,Non-Evaluation,Database Search,Conference Proceedings,2012,"Staniec, A. C., Doerr, H. M., & Asee. (2012). Flexible and sustainable interventions for mathematics support of first-year students. Proceedings of the 2012 ASEE Annual Conference & Exposition (pp. 25.640.1-25.640.8). American Society for Engineering Education.",Syracuse University (LC Smith College of Engineering and Computer Science),USA,43.39193956,-76.16451466,Appointments
27,Non-Evaluation,Database Search,Journal Article,2008,"Turner, P. R. (2008). A predictor-corrector process with refinement for first-year calculus transition support. PRIMUS, 18(4), 370-393. ",Clarkson University,USA,44.66747115,-74.99653053,"Bridging_Course, Drop-in_Sessions"
28,Non-Evaluation,Database Search,Journal Article,2010,"Cooper, E. (2010). Tutoring center effectiveness: The effect of drop-in tutoring. Journal of College Reading and Learning, 40(2), 21-34.",Western Washington University,USA,48.84258885,-122.479761,Drop-in_Sessions
29,Non-Evaluation,Database Search,Conference Proceedings,2011,"Louie, B., Knight, D., & Sullivan, J. F. (2011). A drop-in tutoring program to support the retention, self-efficacy and identity of undergraduate engineering students. Proceedings of the 2011 ASEE Annual Conference (pp. 22.40.1-22.40.14). American Society for Engineering Education. ",University of Colorado Boulder,USA,40.00793248,-105.2647366,Drop-in_Sessions
30,Non-Evaluation,MSOR-Connections,MSOR-Connections,2021,"Bakhshi, A., Mekwi, W. R., Nisbet, K. C., & Walker, A. J. (2021). Measuring the Success of Mathematics and Statistics Support Sessions at UWS. MSOR Connections, 19(2). ",University of the West of Scotland,UK,55.78025404,-4.093835018,Drop-in_Sessions
31,Non-Evaluation,MSOR-Connections,MSOR-Connections,2019,"Hilliam, R., & Arrowsmith, G. (2019). Enhancing the student experience with the use of a dedicated subject website. MSOR Connections, 17(2), 39-45. ",The Open University,UK,52.02502189,-0.707803265,Online_Resources 
32,Non-Evaluation,MSOR-Connections,MSOR-Connections,2005,"Parsons, S. J., & Adams, H. (2005). Success in engineering mathematics. MSOR Connections, 5(1), 31-34. ",Harper Adams University College,UK,52.89344938,-2.301972835,Appointments
33,Non-Evaluation,MSOR-Connections,MSOR-Connections,2010,"Ní Fhloinn, E., & Perkin, G. (2010). Novel approaches to refresher courses in basic mathematics. MSOR Connections, 9(4), 3-6. ",Dublin City University,Ireland,53.42552594,-6.278794656,"Appointments, Paper_Resources"
34,Non-Evaluation,MSOR-Connections,MSOR-Connections,2007,"Golden, K., Stripp, C., & Lee, S. (2007). Encouraging student use of feedback, reflection and engagement through web-based learning support. MSOR Connections, 7(2), 7-10.",University of the West of England (UWE),UK,51.62995524,-2.525366326,Online_Resources 
35,Non-Evaluation,MSOR-Connections,MSOR-Connections,2008,"Parsons, S. (2008). Overview of the provision of mathematics support to students in a University College. MSOR Connections, 8(2), 29-32.",Harper Adams University College,UK,52.85344938,-2.341972835,"Appointments, Paper_Resources, Workshops"
36,Non-Evaluation,MSOR-Connections,MSOR-Connections,2011,"Patel, C., & Rossiter, J. A., (2011). Encouraging engagement with mathematics through course change and additional support. MSOR Connections, 11(2), 32-36.",University of Sheffield,UK,53.38142697,-1.488122495,Drop-in_Sessions
37,Non-Evaluation,MSOR-Connections,MSOR-Connections,2011,"Bradshaw, N.-A. (2011). The University of Greenwich Maths Arcade. MSOR Connections, 11(3), 26-29.",University of Greenwich,UK,51.48313356,-0.006055709,Drop-in_Sessions
38,Non-Evaluation,MSOR-Connections,MSOR-Connections,2010,"Samuels, P., & Williams, G. (2010). Developing students’ self-efficacy through mathematical study skills resources. MSOR Connections, 10(2), 26-30.",Coventry University*,UK,52.40752988,-1.50220972,Paper_Resources
39,Non-Evaluation,MSOR-Connections,MSOR-Connections,2012,"Symonds, R., Hibberd, S., & Cross, T. (2012). Supporting engineering students with non-typical backgrounds using a proactive intervention to facilitate transition to Higher Education. MSOR Connections, 12(1), 34-38.",University of Nottingham,UK,52.93896029,-1.198052059,"Online_Resources , Tutorials"
40,Non-Evaluation,MSOR-Connections,MSOR-Connections,2013,"Ferrier, C. (2013). A Multifaceted Approach to Numeracy Support for Life Sciences Students. MSOR Connections, 13(2), 24-30.",University of Westminster,UK,51.51900109,-0.148786049,"Appointments, Online_Resources "
41,Non-Evaluation,MSOR-Connections,MSOR-Connections,2013,"Matthews, J., Croft, A. C., & Lawson, D. (2013). mathcentre 2013. MSOR Connections, 13(1), 34-40.",Hosted by Loughborough University,UK,52.72512265,-1.191940199,Online_Resources 
42,Non-Evaluation,MSOR-Connections,MSOR-Connections,2013,"Ahmed, S., Joy, J., & Moriarty, D. (2013). An evaluation of the use of a nursing medication formula card as an educational tool. MSOR Connections, 13(1), 41-44.",University of Glasgow,UK,55.87993693,-4.252922077,Paper_Resources
43,Non-Evaluation,MSOR-Connections,MSOR-Connections,2014,"Lingham, E. F., & Baughan, A. (2015). A proactive collaborative workshop approach to supporting student preparation for graduate numerical reasoning tests. MSOR Connections, 14(1), 39-42. ",De Montfort University,UK,52.62994396,-1.139759843,Workshops
44,Non-Evaluation,MSOR-Connections,MSOR-Connections,2003,"Starkings, S., & Bank, L. S. (2003). Drug Calculation and the Mathematics required for Nursing. MSOR Connections, 3(4), 46-49.",London South Bank University,UK,51.49824503,-0.102061865,Tutorials
45,Non-Evaluation,MSOR-Connections,MSOR-Connections,2002,"Lawson, D., Halpin, M., & Croft, T. (2002). After the diagnostic test - what next? Evaluating and enhancing the effectiveness of mathematics support centres - part 2. MSOR Connections, 2(1), 23-26.","Coventry University, University of Edinburgh, University of Huddersfield, Loughborough University, Napier University, Sheffield Hallam University, South Bank University",UK,52.42752988,-1.52220972,MSC
46,Non-Evaluation,MSOR-Connections,MSOR-Connections,2002,"Starkings, S. (2002). Mathematical and statistical support service at South Bank University. MSOR Connections, 2(3), 13-15.",London South Bank University,UK,51.47824503,-0.132061865,"Appointments, Paper_Resources"
47,Non-Evaluation,MSOR-Connections,MSOR-Connections,2003,"Hibberd, S., Litton, L., Chambers, C., & Rowlett, P. (2003). MELEES-e-support or mayhem? MSOR Connections, 3(3), 29-34.",University of Nottingham ,UK,52.91896029,-1.168052059,Online_Resources 
48,Non-Evaluation,MSOR-Connections,MSOR-Connections,2004,"Patel, C. (2004) Participation (Diagnosis + Prescription) = Resolution. MSOR Connections, 4(2), 19-21.",Robert Gordon University,UK,57.13910526,-2.117414391,MSC
49,Non-Evaluation,MSOR-Connections,MSOR-Connections,2004,"Woodhouse, S. (2004) Developing maths support. MSOR Connections, 4(4), 29-33.",Nottingham Trent University,UK,52.96164615,-1.128095429,Drop-in_Sessions
50,Non-Evaluation,From Lawson et al.,Sigma report,2013,"Fletcher, L. (2013). The mathematics support community of practice: A report of the achievements of sigma within the national HE STEM programme. sigma. ","University of Kent, University of Lincoln, London Metropolitan University, Uni of York",UK,51.29686023,1.063605012,"Appointments, Drop-in_Sessions, MSC"
51,Non-Evaluation,From Matthews et al.,Journal Article,2008,"Lee, S., Harrison, M. C., Pell, G., & Robinson, C. L. (2008). Predicting performance of first year engineering students and the importance of assessment tools therein. Engineering Education, 3(1), 44-51. ",Loughborough University,UK,52.70512265,-1.231940199,MSC
52,Non-Evaluation,DELTA,Conference Proceedings,2009,"Harrison, M. C., & Petrie, M. G. (2009). Sigma: Providing university wide mathematics support. In D. Wessels (Ed.), Proceedings of the Seventh Southern Right Delta Conference on the Teaching and Learning of Undergraduate Mathematics and Statistics (pp. 106-116). Internal Delta Steering Committee.",Loughborough and Coventry Universities,UK,52.81512265,-1.231940199,"Drop-in_Sessions, Workshops"
53,Non-Evaluation,CETL-MSOR,Conference Proceedings,2009,"Patel, C., & Rossiter, A. (2009). Student engagement and non-engagement with mathematics and statistics support. In D. Green (Ed.), Proceedings of the CETL-MSOR Conference 2009 (pp. 99-104). The Maths, Stats & OR Network.",The University of Sheffield,UK,53.38142697,-1.488122495,"Drop-in_Sessions, Online_Resources "
54,Non-Evaluation,CETL-MSOR,Conference Proceedings,2008,"Gill, O. (2009) Head Start Mathematics. Report on a programme for adult learners of mathematics returning to higher education. In D. Green (Ed.), Proceedings of the CETL-MSOR Conference 2008 (pp. 33-37). The Maths, Stats & OR Network.",University of Limerick,Ireland,52.69370517,-8.59181493,Bridging_Course
55,Non-Evaluation,Math Learning Centre Leaders,Book (Section),2016,"Mayes, V. L., (2016). Case Study: The William B. Law Learning Commons at Tallahassee Community College. In G. Coulombe, M. O'Neill, M. Schuckers (Eds.), A Handbook for Directors of Quantitative and Mathematical Support Centers. Neck Quill Press. http://dx.doi.org/10.5038/9780977674435.ch26 ",Tallahassee Community College,USA,30.44408437,-84.33864794,"Online_Resources , Tutorials, Workshops"
56,Non-Evaluation,From Matthews et al.,Thesis,2007,"Perkin, G. (2007). Mathematics learning support and dyslexia [Doctoral dissertation, Loughborough University]. ",Loughborough University with some data from other UK universities,UK,52.76512265,-1.301940199,Drop-in_Sessions
57,Non-Evaluation,Database Search,Journal Article,2012,"Adams, N., Hayes, C., Dekkers, A., Elliott, S., & Atherton, J. (2012). Obtaining learning independence and academic success through self-assessment and referral to a Mathematics Learning Centre. The International Journal of the First Year in Higher Education, 3(2), 21-32. ",Central Queensland University ,Australia,-27.48699698,153.045108,"Bridging_Course, Drop-in_Sessions, Online_Resources , Paper_Resources, Workshops"
58,Non-Evaluation,Database Search,Journal Article,2006,"Heck, A., & Van Gastel, L. (2006). Mathematics on the threshold. International Journal of Mathematical Education in Science and Technology, 37(8), 925-945. ",University of Amsterdam,The Netherlands,52.35710248,4.961463292,Tutorials
59,Non-Evaluation,Database Search,Conference Proceedings,2020,"Khan, K. (2020). A case study on the effectiveness of 1-1 maths support for engineering students making transitions into higher education with weak key maths skills. In L. Gómez Chova, A. López Martínez, & I. Candel Torres (Eds.), Proceedings of the 14th International Technology, Education and Development Conference, (pp. 957-960). IATED Academy. ",University of Central Lancashire,UK,53.74460894,-2.67790522,Appointments
60,Non-Evaluation,Database Search,Journal Article,2021,"Mullen, C., Pettigrew, J., Cronin, A., Rylands, L. & Shearman, D. (2021). Mathematics is Different: student and tutor perspectives from Ireland and Australia on online support during COVID-19. Teaching Mathematics and its Applications, 40(4), 332-355. ","University College Dublin, Western Sydney University",Ireland + Australia,53.32979088,-6.241503872,"Drop-in_Sessions, Online_Communication, Workshops"
60,Non-Evaluation,Database Search,Journal Article,2022,"Mullen, C., Pettigrew, J., Cronin, A., Rylands, L. & Shearman, D. (2022). The rapid move to online support: changes in pedagogy and social interaction. International Journal of Mathematical Education in Science and Technology, 53(1), 64-91. ","University College Dublin, Western Sydney University",Ireland + Australia,53.30979088,-6.221503872,"Drop-in_Sessions, Online_Communication, Workshops"
61,Non-Evaluation,Database Search,Conference Proceedings,2005,"Mustoe, L. R. (2005). The mathematics education centre at Loughborough: helping engineering undergraduates learn mathematics. In Z. J. Pudlowski (Ed.), Proceedings of the 8th UICEE Annual Conference on Engineering Education, (pp. 100-103). UNESCO International Centre for Engineering Education (UICEE).",Loughborough University,UK,52.76512265,-1.171940199,"Bridging_Course, Drop-in_Sessions"
62,Non-Evaluation,Database Search,Journal Article,2003,"Robinson, C. L., & Croft, A. C. (2003). Engineering students—diagnostic testing and follow up. Teaching Mathematics and its Applications, 22(4), 177-181. ",Loughborough University,UK,52.79512265,-1.281940199,"Bridging_Course, MSC"
63,Non-Evaluation,MSOR-Connections,MSOR-Connections,2021,"Heraty, C., O'Malley, J., Mac an Bhaird, C., Mulligan, P., & O'Neill, R. (2021). A trial of resources to support students with dyslexia. MSOR Connections, 19(1), 13-21. ",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.36479865,-6.580510943,Paper_Resources
64,Non-Evaluation,MSOR-Connections,MSOR-Connections,2020,"Hodds, M. (2020). Supporting nursing students’ mathematical understanding. MSOR Connections, 18(3), 23-29.",Coventry University,UK,52.38752988,-1.48220972,"Drop-in_Sessions, Online_Resources , Paper_Resources"
65,Non-Evaluation,MSOR-Connections,MSOR-Connections,2018,"Hodds, M., & Xu, A. (2018). Reviewing Coventry University’s Mathematics Support Centre 2016-17: Ideas and Inspiration. MSOR Connections, 16(3), 20-30.",Coventry University,UK,52.44752988,-1.46220972,"Appointments, Drop-in_Sessions, Workshops"
66,Non-Evaluation,MSOR-Connections,MSOR-Connections,2016,"McIvor, T., Cole, J., & Mac an Bhaird, C. (2016). The Pilot Maths Centre at the North West Regional College. MSOR Connections, 15(1), 56-63. ",North West Regional College,UK,55.00292023,-7.322368703,"Appointments, Workshops"
67,Non-Evaluation,From Lawson et al.,IMLSN,2016,"Cronin, A., Cole, J., Clancy, M., Breen, C., & O'Se, D. (2016). An audit of mathematics support provision on the island of Ireland in 2015. National Forum for the Enhancement of Teaching and Learning in Higher Education.",31 Higher Ed Institutions on island of Ireland - full list on page 67 of report,Republic of Ireland and Northern Ireland,,,"Appointments, Drop-in_Sessions, Online_Communication"
68,Non-Evaluation,From Lawson et al.,Report,2011,"Morgan, B. (2011). Mind the gap: Mathematics and the transition from A-levels to physics and engineering degrees. Institute of Physics. ",3 Russell Group Universities,UK,,,"Online_Resources , Paper_Resources, Tutorials"
69,Non-Evaluation,From Matthews et al.,Conference Proceedings,2007,"Gill, O., & O’Donoghue, J. (2007). Justifying the existence of Mathematics learning support: Measuring the effectiveness of a mathematics learning centre. In T. Maguire, N. Colleran, O. Gill, J. O’Donoghue, & K. Safford-Ramus (Eds.), Proceedings of the Fourteenth International Conference of Adults Learning Mathematics (pp. 154-164). Adult Learning Mathematics (ALM) – A Research Forum.",University of Limerick,Ireland ,52.7170517,-8.61181493,"Drop-in_Sessions, Online_Resources , Tutorials"
70,Non-Evaluation,INDRUM,Conference Proceedings,2016,"Rämö, J., Oinonen, L., & Vihavainen, A. (2016). Activity and performance on a student-centred undergraduate mathematics course. In E. Nardi, C. Winsløw, & T. Hausberger (Eds.), Proceedings of INDRUM 2016 First conference of the International Network for Didactic Research in University Mathematics (pp. 494-503). University of Montpellier and INDRUM.",University of Helsinki,Finland,60.29129444,25.30709577,Drop-in_Sessions
71,Non-Evaluation,INDRUM,Conference Proceedings,2018,"Rolf, B., Lankeit, E., & Neuhaus, S. (2018). Different goals for pre-university mathematical bridging courses–Comparative evaluations, instruments and selected results. In V. Durand-Guerrier, R. Hochmuth, S. Goodchild, & N. M. Hogstad (Eds.), Proceedings of INDRUM 2018 Second conference of the International Network for Didactic Research in University Mathematics (pp. 467-476). University of Agder and INDRUM.",5 unnamed universities,Germany,,,Bridging_Course
72,Non-Evaluation,INDRUM,Conference Proceedings,2020,"Fleischmann, Y., Mai, T., & Rolf, B. (2020). Design and evaluation of digital innovations for an attendance-based bridging course in mathematics. In T. Hausberger, M. Bosch, & F. Chellougui (Eds.), Proceedings of INDRUM 2020 Third conference of the International Network for Didactic Research in University Mathematics (pp. 423-432). University of Carthage and INDRUM.",University of Paderborn,Germany,51.70860529,8.771569784,"Bridging_Course, Online_Resources "
73,Non-Evaluation,RUME,Conference Proceedings,2018,"Tinsley, C. J., Rawlins, B., Moore-Russo, D., & Savic, M. (2018). Math help centres: Factors that impact student perceptions and attendance. In A. Weinburg, C. Rasmussen, J. Rabin, M. Wawro, & S. Brown (Eds.), Proceedings of the 21st Annual Conference on Research in Undergraduate Mathematics Education (pp. 301-310). The Special Interest Group of the Mathematical Association of America (SIGMAA) for Research in Undergraduate Mathematics Education.","Large, public research university",USA,,,"Drop-in_Sessions, Paper_Resources"
74,Non-Evaluation,CERME,Conference Proceedings,2015,"Kürten, R. & Greefrath, G. (2015). The Rechenbrücke – A project in the introductory phase of studies. In K. Krainer & N. Vondrová (Eds.), Proceedings of the Ninth Congress of the European Society for Research in Mathematics Education (pp. 2166-2172). Charles University in Prague, Faculty of Education and ERME.",University of Applied Sciences Münster,Germany,51.24695314,6.792115308,Bridging_Course
75,Non-Evaluation,CERME,Conference Proceedings,2011,"Biehler, R., Fischer, P. R., Hochmuth, R. & Wassong, Th. (2011). Designing and evaluating blended learning bridging courses in mathematics. In M. Pytlak, P. T. Rowland, & E. Swoboda (Eds.), Proceedings of the Seventh Congress of the European Society for Research in Mathematics Education (pp. 1971-1980). University of Rzeszów and ERME",Univeristy of Kessal,Germany,51.32289547,9.508026714,"Bridging_Course, Online_Resources "
76,Non-Evaluation,MSOR-Connections,MSOR-Connections,2022,"Palmer, C., Rourke, S. O., Carroll, C., Manning, D., Cogan, P., & Morari, V. (2022). Digital Resources for Targeted Mathematics Support. MSOR Connections, 20(2), 26-36. ",Munster Technological University,Ireland,51.88610757,-8.53322568,Online_Resources 
77,Non-Evaluation,MSOR-Connections,MSOR-Connections,2022,"Mac an Bhaird, C., Mulligan, P., O'Malley, J., & O'Neill, R. (2022). Access, Disability and Mature Student Opinion on Academic Mathematics Supports. MSOR Connections, 20(3), 19-25. ",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.34479865,-6.620510943,"Drop-in_Sessions, Online_Communication, Online_Resources , Workshops"
78,Non-Evaluation,MSOR-Connections,MSOR-Connections,2022,"Mac an Bhaird, C., Mulligan, P., O'Malley, J., O'Neill, R., & Sheerin, E. (2022). An Evaluation of a Summer Mathematics Bridging Course for Mature Students. MSOR Connections, 20(3), 37-44.",Maynooth University (NUIM National University of Ireland Maynooth),Ireland,53.34479865,-6.580510943,Bridging_Course
79,Non-Evaluation,CETL-MSOR,Conference Proceedings,2009,"Ní Fhloinn, E. (2009). The role of student feedback in evaluating mathematics support centres. In D. Green (Ed.), Proceedings of the CETL-MSOR Conference 2009 (pp. 94-98). The Maths, Stats & OR Network.",Dublin City University,Ireland,53.44552594,-6.258794656,"Drop-in_Sessions, Online_Resources "
80,Non-Evaluation,CETL-MSOR,Conference Proceedings,2008,"Gill, M., & Greenhow, M. (2008). Maths Café–an initiative to help non-mathematicians. In D. Green (Ed.), Proceedings of the CETL-MSOR Conference 2008 (pp. 25-32). The Maths, Stats & OR Network.",Brunel University,UK,51.53225901,-0.472491811,"Drop-in_Sessions, Paper_Resources"
81,Non-Evaluation,CETL-MSOR,Conference Proceedings,2010,"Ahmed, S., & Love, L. (2010). Provision and Evaluation of Mathematics Support at the University of Glasgow. In D. Green (Ed.), Proceedings of the CETL-MSOR Conference 2010 (pp. 9-11). The Maths, Stats & OR Network.",University of Glasgow,UK,55.85993693,-4.232922077,"Appointments, Drop-in_Sessions, Online_Resources "
